an_id,platforms,logsource,channel,dc_id,dc_name
AN0001,IaaS,AWS:CloudTrail,GetInstanceIdentityDocument,DC0070,Cloud Service Metadata
AN0001,IaaS,AWS:VPCFlowLogs,Outbound connection to 169.254.169.254 from EC2 workload,DC0082,Network Connection Creation
AN0001,IaaS,ebpf:syscalls,Process within container accesses link-local address 169.254.169.254,DC0085,Network Traffic Content
AN0002,Windows,NSM:Flow,mqtt.log / xmpp.log (custom log feeds),DC0085,Network Traffic Content
AN0002,Windows,WinEventLog:Sysmon,"EventCode=3, 22",DC0082,Network Connection Creation
AN0003,Linux,NSM:Flow,mqtt.log or AMQP custom log,DC0085,Network Traffic Content
AN0003,Linux,auditd:SYSCALL,execve,DC0032,Process Creation
AN0004,macOS,macos:osquery,socket_events,DC0078,Network Traffic Flow
AN0004,macOS,macos:unifiedlog,log stream 'eventMessage contains pubsub or broker',DC0032,Process Creation
AN0005,Network Devices,NSM:Flow,"mqtt.log, xmpp.log, amqp.log",DC0085,Network Traffic Content
AN0006,Windows,WinEventLog:Security,EventCode=4720,DC0014,User Account Creation
AN0006,Windows,WinEventLog:Sysmon,EventCode=1,DC0032,Process Creation
AN0007,Linux,NSM:Flow,TGS-REQ and AS-REQ seen for new user shortly after domain-modifying process,DC0002,User Account Authentication
AN0007,Linux,auditd:SYSCALL,"execution of realmd, samba-tool, or ldapmodify with user-related arguments",DC0064,Command Execution
AN0008,macOS,macos:unifiedlog,dsconfigad or dscl with create or append options for AD-bound users,DC0064,Command Execution
AN0008,macOS,macos:unifiedlog,UserLoggedIn,DC0067,Logon Session Creation
AN0009,Windows,WinEventLog:Security,EventCode=4657,DC0063,Windows Registry Key Modification
AN0009,Windows,WinEventLog:Sysmon,EventCode=11,DC0039,File Creation
AN0009,Windows,WinEventLog:Sysmon,EventCode=1,DC0032,Process Creation
AN0010,Linux,auditd:SYSCALL,"open/write calls modifying ~/.bashrc, ~/.profile, or /etc/paths.d",DC0061,File Modification
AN0010,Linux,linux:osquery,Execution of binary resolved from $PATH not located in /usr/bin or /bin,DC0032,Process Creation
AN0011,macOS,macos:unifiedlog,File modification in /etc/paths.d or user shell rc files,DC0061,File Modification
AN0011,macOS,macos:unifiedlog,Process execution path inconsistent with baseline PATH directories,DC0032,Process Creation
AN0012,Windows,EDR:AMSI,None,DC0064,Command Execution
AN0012,Windows,WinEventLog:Sysmon,EventCode=1,DC0032,Process Creation
AN0012,Windows,WinEventLog:Sysmon,EventCode=11,DC0039,File Creation
AN0013,macOS,fs:fileevents,/var/log/quarantine.log,DC0061,File Modification
